,"supplierUrl","amaonUrl","size","similarity_result","distance","outsource","colorSimilarity"
560,"https://img.chewy.com/is/catalog/99768_MAIN._AC_SS190_V1464716234_.jpg","http://ecx.images-amazon.com/images/I/51lKEZHJ%2BnL._SL75_.jpg","11920  12464",0.401084010840108,0.1186,-1,1.96665986348322
17,"https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A00Y_1_201709032017477010.jpg","http://ecx.images-amazon.com/images/I/412y%2B-CltYL._SL75_.jpg","14384  13520",0.401345291479821,0.0479,-1,0
984,"https://s7d4.scene7.com/is/image/BonTon/1056619?$medium_245$","http://ecx.images-amazon.com/images/I/41sgXBwTHtL._SL75_.jpg","14384  14576",0.401345291479821,0.1301,-1,0
765,"https://target.scene7.com/is/image/Target/52948329?wid=325&hei=325&qlt=80&fmt=pjpeg","http://ecx.images-amazon.com/images/I/61D4MEiWYFL._SL75_.jpg","16112  16112",0.402,0.0428,-1,10.5021674760442
932,"https://target.scene7.com/is/image/Target/50326797?wid=325&hei=325&qlt=80&fmt=pjpeg","http://ecx.images-amazon.com/images/I/51Bcp-aP4xL._SL75_.jpg","15792  15984",0.402040816326531,0.0572,-1,1.52992242132314
723,"https://target.scene7.com/is/image/Target/53275824?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/312Eyad1rML._SL75_.jpg","15312  7024",0.402105263157895,0.1767,-1,0
108,"http://g.christianbook.com/dg/product/cbd/w163/721514.jpg","http://ecx.images-amazon.com/images/I/51yyVmdrsiL._SL75_.jpg","11472  11152",0.402816901408451,0.0476,-1,1.74036705013629
899,"https://target.scene7.com/is/image/Target/52929356?wid=325&hei=325&qlt=80&fmt=pjpeg","http://ecx.images-amazon.com/images/I/51JoMmOWzML._SL75_.jpg","15664  15408",0.403292181069959,0.1051,-1,0.538720632143761
957,"https://target.scene7.com/is/image/Target/53217004?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/51NP1D1Vw6L._SL75_.jpg","13680  14960",0.403301886792453,0.0913,-1,0.001026693498943
760,"https://target.scene7.com/is/image/Target/53621249?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41iaI6J0G2L._SL75_.jpg","15504  14416",0.403326403326403,0.1202,-1,0
166,"https://imagesprod1.dickssportinggoods.com/is/image/dkscdn/16ODYMWHTHTRX2BLSPTR_is/?$DSG_ProductCard$","http://ecx.images-amazon.com/images/I/41caRveNutL._SL75_.jpg","7408  8848",0.403508771929825,0.0672,-1,4.56863347153558E-09
896,"https://target.scene7.com/is/image/Target/53204515?wid=325&hei=325&qlt=80&fmt=pjpeg","http://ecx.images-amazon.com/images/I/61IYEY6qg3L._SL75_.jpg","13424  15632",0.403846153846154,0.0549,-1,1.25220112642273
